YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 03 03 00 345  8.4  9.9 99.00 99.00 99.00 999 1017.7 999.0 999.0 999.0 99.0 99.00
2021 01 03 04 00 349  6.3  7.4 99.00 99.00 99.00 999 1019.0 999.0 999.0 999.0 99.0 99.00
2021 01 03 05 00   2  7.5  8.2 99.00 99.00 99.00 999 1019.5 999.0 999.0 999.0 99.0 99.00
2021 01 03 06 00   1  5.3  6.2 99.00 99.00 99.00 999 1020.6 999.0 999.0 999.0 99.0 99.00
2021 01 03 07 00   0  6.1  6.6 99.00 99.00 99.00 999 1021.3 999.0 999.0 999.0 99.0 99.00
2021 01 03 08 00 355  6.3  7.1 99.00 99.00 99.00 999 1021.5 999.0 999.0 999.0 99.0 99.00
2021 01 03 09 00   0  7.5  8.3 99.00 99.00 99.00 999 1020.9 999.0 999.0 999.0 99.0 99.00
2021 01 03 10 00 359  5.7  6.5 99.00 99.00 99.00 999 1021.5 999.0 999.0 999.0 99.0 99.00
2021 01 03 11 00  15  6.3  6.6 99.00 99.00 99.00 999 1022.3 999.0 999.0 999.0 99.0 99.00
2021 01 03 12 00  31  8.3  8.9 99.00 99.00 99.00 999 1020.2 999.0 999.0 999.0 99.0 99.00
2021 01 03 13 00  30  7.4  8.3 99.00 99.00 99.00 999 1021.5 999.0 999.0 999.0 99.0 99.00
2021 01 03 14 00  17  6.0  6.5 99.00 99.00 99.00 999 1022.3 999.0 999.0 999.0 99.0 99.00
2021 01 03 15 00   4  4.9  5.3 99.00 99.00 99.00 999 1023.3 999.0 999.0 999.0 99.0 99.00
2021 01 03 16 00   7  5.9  6.5 99.00 99.00 99.00 999 1021.9 999.0 999.0 999.0 99.0 99.00
2021 01 03 17 00  39  6.8  7.6 99.00 99.00 99.00 999 1020.1 999.0 999.0 999.0 99.0 99.00
2021 01 03 18 00  60 10.6 11.1 99.00 99.00 99.00 999 1016.8 999.0 999.0 999.0 99.0 99.00
2021 01 03 19 00  68  8.2  9.1 99.00 99.00 99.00 999 1017.2 999.0 999.0 999.0 99.0 99.00
2021 01 03 20 00  63  8.9  9.8 99.00 99.00 99.00 999 1017.3 999.0 999.0 999.0 99.0 99.00
2021 01 03 21 00  59  9.4 10.1 99.00 99.00 99.00 999 1017.1 999.0 999.0 999.0 99.0 99.00
2021 01 03 22 00  60  8.6  9.6 99.00 99.00 99.00 999 1017.5 999.0 999.0 999.0 99.0 99.00
2021 01 03 23 00  45  9.6 10.6 99.00 99.00 99.00 999 1016.7 999.0 999.0 999.0 99.0 99.00
2021 01 04 00 00  41 11.0 11.9 99.00 99.00 99.00 999 1015.9 999.0 999.0 999.0 99.0 99.00
2021 01 04 01 00  37 12.0 12.8 99.00 99.00 99.00 999 1015.3 999.0 999.0 999.0 99.0 99.00
2021 01 04 02 00  33 10.6 11.7 99.00 99.00 99.00 999 1015.6 999.0 999.0 999.0 99.0 99.00
2021 01 04 03 00  28 11.5 13.0 99.00 99.00 99.00 999 1014.8 999.0 999.0 999.0 99.0 99.00
2021 01 04 04 00  30 11.7 13.1 99.00 99.00 99.00 999 1014.0 999.0 999.0 999.0 99.0 99.00
2021 01 04 05 00  27 11.0 11.9 99.00 99.00 99.00 999 1013.2 999.0 999.0 999.0 99.0 99.00
2021 01 04 06 00  27 10.8 11.8 99.00 99.00 99.00 999 1012.9 999.0 999.0 999.0 99.0 99.00
2021 01 04 07 00  22 10.2 11.0 99.00 99.00 99.00 999 1012.7 999.0 999.0 999.0 99.0 99.00
2021 01 04 08 00  11 10.6 11.5 99.00 99.00 99.00 999 1012.7 999.0 999.0 999.0 99.0 99.00
2021 01 04 09 00  12 11.4 12.4 99.00 99.00 99.00 999 1012.3 999.0 999.0 999.0 99.0 99.00
2021 01 04 10 00   3 10.6 11.3 99.00 99.00 99.00 999 1012.4 999.0 999.0 999.0 99.0 99.00
