YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
89 01 01 00 295 08.3 09.7 99.00 99.00 99.00 999 1019.1  03.3 999.0 999.0 99.0
89 01 01 01 279 10.5 11.5 99.00 99.00 99.00 999 1021.4  03.0 999.0 999.0 99.0
89 01 01 02 292 09.3 10.7 99.00 99.00 99.00 999 1021.8  02.8 999.0 999.0 99.0
89 01 01 03 308 06.6 07.8 99.00 99.00 99.00 999 1021.5  02.1 999.0 999.0 99.0
89 01 01 04 310 06.0 06.7 99.00 99.00 99.00 999 1022.2  01.6 999.0 999.0 99.0
89 01 01 05 347 07.8 08.4 99.00 99.00 99.00 999 1023.1  01.2 999.0 999.0 99.0
89 01 01 06 349 06.7 07.9 99.00 99.00 99.00 999 1023.7  00.1 999.0 999.0 99.0
89 01 01 07 358 07.9 08.5 99.00 99.00 99.00 999 1023.9 -00.3 999.0 999.0 99.0
89 01 01 08 007 05.8 06.6 99.00 99.00 99.00 999 1024.9 -00.8 999.0 999.0 99.0
89 01 01 09 360 05.5 06.1 99.00 99.00 99.00 999 1025.5 -01.1 999.0 999.0 99.0
89 01 01 10 010 05.8 06.7 99.00 99.00 99.00 999 1025.9 -01.7 999.0 999.0 99.0
89 01 01 11 024 08.6 09.5 99.00 99.00 99.00 999 1026.5 -02.1 999.0 999.0 99.0
89 01 01 12 031 09.1 09.7 99.00 99.00 99.00 999 1026.5 -02.5 999.0 999.0 99.0
89 01 01 13 031 07.8 08.6 99.00 99.00 99.00 999 1026.8 -02.0 999.0 999.0 99.0
89 01 01 14 031 07.7 08.4 99.00 99.00 99.00 999 1026.5 -01.0 999.0 999.0 99.0
89 01 01 15 042 08.9 10.1 99.00 99.00 99.00 999 1026.2 -00.6 999.0 999.0 99.0
89 01 01 16 054 06.7 07.5 99.00 99.00 99.00 999 1026.2  00.1 999.0 999.0 99.0
89 01 01 17 085 06.7 07.9 99.00 99.00 99.00 999 1025.2  00.9 999.0 999.0 99.0
89 01 01 18 086 06.7 07.7 99.00 99.00 99.00 999 1024.6  00.9 999.0 999.0 99.0
89 01 01 19 090 06.9 07.5 99.00 99.00 99.00 999 1024.6  01.0 999.0 999.0 99.0
89 01 01 20 085 05.9 06.8 99.00 99.00 99.00 999 1024.7  01.1 999.0 999.0 99.0
89 01 01 21 074 06.7 07.9 99.00 99.00 99.00 999 1024.3  01.2 999.0 999.0 99.0
89 01 01 22 064 07.9 09.2 99.00 99.00 99.00 999 1023.8  01.2 999.0 999.0 99.0
89 01 01 23 082 09.1 09.6 99.00 99.00 99.00 999 1023.9  01.2 999.0 999.0 99.0
89 01 02 00 077 09.0 09.6 99.00 99.00 99.00 999 1023.7  01.3 999.0 999.0 99.0
89 01 02 01 087 08.6 09.2 99.00 99.00 99.00 999 1023.4  01.3 999.0 999.0 99.0
89 01 02 02 078 08.3 09.2 99.00 99.00 99.00 999 1022.9  01.4 999.0 999.0 99.0
89 01 02 03 076 08.7 09.6 99.00 99.00 99.00 999 1022.7  01.5 999.0 999.0 99.0
89 01 02 04 082 08.8 09.9 99.00 99.00 99.00 999 1021.5  01.6 999.0 999.0 99.0
89 01 02 05 084 08.4 09.2 99.00 99.00 99.00 999 1020.7  01.7 999.0 999.0 99.0
89 01 02 06 080 07.9 08.6 99.00 99.00 99.00 999 1020.1  01.9 999.0 999.0 99.0
89 01 02 07 075 07.3 08.3 99.00 99.00 99.00 999 1019.9  02.2 999.0 999.0 99.0
89 01 02 08 072 07.6 08.6 99.00 99.00 99.00 999 1019.2  02.4 999.0 999.0 99.0
89 01 02 09 079 06.7 07.4 99.00 99.00 99.00 999 1018.4  02.4 999.0 999.0 99.0
89 01 02 10 070 04.9 05.4 99.00 99.00 99.00 999 1018.0  02.6 999.0 999.0 99.0
89 01 02 11 061 06.2 07.3 99.00 99.00 99.00 999 1016.7  02.5 999.0 999.0 99.0
89 01 02 12 071 06.1 06.7 99.00 99.00 99.00 999 1016.1  02.8 999.0 999.0 99.0
89 01 02 13 071 05.2 05.7 99.00 99.00 99.00 999 1015.7  03.2 999.0 999.0 99.0
89 01 02 14 082 04.3 05.1 99.00 99.00 99.00 999 1015.5  03.5 999.0 999.0 99.0
89 01 02 15 083 03.9 04.2 99.00 99.00 99.00 999 1014.9  03.7 999.0 999.0 99.0
89 01 02 16 059 01.7 01.9 99.00 99.00 99.00 999 1014.0  04.0 999.0 999.0 99.0
89 01 02 17 016 01.6 02.0 99.00 99.00 99.00 999 1012.5  03.6 999.0 999.0 99.0
89 01 02 18 021 00.6 00.8 99.00 99.00 99.00 999 1011.3  03.8 999.0 999.0 99.0
89 01 02 19 318 01.0 01.1 99.00 99.00 99.00 999 1010.8  05.3 999.0 999.0 99.0
89 01 02 20 126 02.2 02.4 99.00 99.00 99.00 999 1009.9  03.9 999.0 999.0 99.0
89 01 02 21 170 03.5 03.7 99.00 99.00 99.00 999 1009.6  04.1 999.0 999.0 99.0
89 01 02 22 203 04.3 04.6 99.00 99.00 99.00 999 1009.1  04.7 999.0 999.0 99.0
89 01 02 23 268 09.7 10.8 99.00 99.00 99.00 999 1009.2  05.0 999.0 999.0 99.0
89 01 03 00 256 06.7 07.1 99.00 99.00 99.00 999 1009.1  03.9 999.0 999.0 99.0
89 01 03 01 270 06.7 07.4 99.00 99.00 99.00 999 1009.1  04.0 999.0 999.0 99.0
89 01 03 02 268 06.5 08.1 99.00 99.00 99.00 999 1008.7  03.8 999.0 999.0 99.0
89 01 03 03 282 07.0 08.1 99.00 99.00 99.00 999 1008.6  03.6 999.0 999.0 99.0
89 01 03 04 269 08.1 08.7 99.00 99.00 99.00 999 1008.0  03.6 999.0 999.0 99.0
89 01 03 05 265 06.5 07.2 99.00 99.00 99.00 999 1007.5  03.5 999.0 999.0 99.0
89 01 03 06 272 07.6 08.3 99.00 99.00 99.00 999 1007.1  03.7 999.0 999.0 99.0
89 01 03 07 261 07.5 08.1 99.00 99.00 99.00 999 1007.2  03.5 999.0 999.0 99.0
89 01 03 08 257 08.3 09.1 99.00 99.00 99.00 999 1006.7  03.8 999.0 999.0 99.0
89 01 03 09 261 10.6 11.5 99.00 99.00 99.00 999 1006.2  03.6 999.0 999.0 99.0
89 01 03 10 271 14.6 15.8 99.00 99.00 99.00 999 1005.9  03.4 999.0 999.0 99.0
89 01 03 11 274 13.1 13.8 99.00 99.00 99.00 999 1006.5  03.3 999.0 999.0 99.0
89 01 03 12 288 11.0 12.0 99.00 99.00 99.00 999 1006.6  02.6 999.0 999.0 99.0
89 01 03 13 287 11.0 12.4 99.00 99.00 99.00 999 1006.5  02.5 999.0 999.0 99.0
89 01 03 14 295 11.5 12.6 99.00 99.00 99.00 999 1007.2  02.6 999.0 999.0 99.0
89 01 03 15 308 11.3 12.0 99.00 99.00 99.00 999 1006.8  03.0 999.0 999.0 99.0
89 01 03 16 307 09.4 11.3 99.00 99.00 99.00 999 1006.2  03.3 999.0 999.0 99.0
