YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
88 01 01 01 220 13.9 16.5 99.00 99.00 99.00 999 1021.9  06.9 999.0 999.0 99.0
88 01 01 02 220 13.4 14.4 99.00 99.00 99.00 999 1021.5  06.8 999.0 999.0 99.0
88 01 01 03 230 13.4 16.0 99.00 99.00 99.00 999 1021.1  06.7 999.0 999.0 99.0
88 01 01 04 230 13.4 14.9 99.00 99.00 99.00 999 1020.9  06.7 999.0 999.0 99.0
88 01 01 05 230 11.9 13.4 99.00 99.00 99.00 999 1020.5  06.6 999.0 999.0 99.0
88 01 01 06 230 13.4 14.9 99.00 99.00 99.00 999 1020.2  06.6 999.0 999.0 99.0
88 01 01 07 230 11.9 15.5 99.00 99.00 99.00 999 1020.0  06.5 999.0 999.0 99.0
88 01 01 08 230 13.9 15.5 99.00 99.00 99.00 999 1019.8  06.6 999.0 999.0 99.0
88 01 01 09 230 12.4 13.9 99.00 99.00 99.00 999 1019.8  06.3 999.0 999.0 99.0
88 01 01 10 240 11.3 12.4 99.00 99.00 99.00 999 1019.4  06.0 999.0 999.0 99.0
88 01 01 11 230 09.3 11.3 99.00 99.00 99.00 999 1020.2  05.4 999.0 999.0 99.0
88 01 01 12 220 12.4 13.4 99.00 99.00 99.00 999 1020.0  05.0 999.0 999.0 99.0
88 01 01 13 220 11.3 12.9 99.00 99.00 99.00 999 1019.9  05.3 999.0 999.0 99.0
88 01 01 14 230 10.3 11.9 99.00 99.00 99.00 999 1020.5  05.8 999.0 999.0 99.0
88 01 01 15 230 10.8 12.4 99.00 99.00 99.00 999 1020.8  06.2 999.0 999.0 99.0
88 01 01 16 220 09.3 10.8 99.00 99.00 99.00 999 1019.9  06.4 999.0 999.0 99.0
88 01 01 17 220 09.8 10.8 99.00 99.00 99.00 999 1019.3  06.6 999.0 999.0 99.0
88 01 01 18 220 09.3 10.3 99.00 99.00 99.00 999 1018.7  06.6 999.0 999.0 99.0
88 01 01 19 230 09.8 11.9 99.00 99.00 99.00 999 1018.7  06.5 999.0 999.0 99.0
88 01 01 20 230 09.3 10.8 99.00 99.00 99.00 999 1018.9  06.5 999.0 999.0 99.0
88 01 01 21 230 09.8 11.3 99.00 99.00 99.00 999 1019.0  06.4 999.0 999.0 99.0
88 01 01 22 240 10.3 11.9 99.00 99.00 99.00 999 1019.0  06.6 999.0 999.0 99.0
88 01 01 23 240 08.8 09.3 99.00 99.00 99.00 999 1019.3  06.3 999.0 999.0 99.0
88 01 02 00 240 09.3 10.3 99.00 99.00 99.00 999 1020.1  06.1 999.0 999.0 99.0
88 01 02 01 250 11.3 12.9 99.00 99.00 99.00 999 1020.4  06.1 999.0 999.0 99.0
88 01 02 02 250 09.3 10.3 99.00 99.00 99.00 999 1020.8  05.8 999.0 999.0 99.0
88 01 02 03 280 07.2 08.3 99.00 99.00 99.00 999 1021.4  05.6 999.0 999.0 99.0
88 01 02 04 300 06.2 06.7 99.00 99.00 99.00 999 1022.3  04.7 999.0 999.0 99.0
88 01 02 05 300 07.2 07.7 99.00 99.00 99.00 999 1022.4  03.7 999.0 999.0 99.0
88 01 02 06 300 09.8 10.3 99.00 99.00 99.00 999 1023.1  03.0 999.0 999.0 99.0
88 01 02 07 290 08.8 09.8 99.00 99.00 99.00 999 1024.5  02.3 999.0 999.0 99.0
88 01 02 08 300 10.3 11.3 99.00 99.00 99.00 999 1025.4  01.3 999.0 999.0 99.0
88 01 02 09 300 13.4 14.4 99.00 99.00 99.00 999 1025.8 -00.1 999.0 999.0 99.0
88 01 02 10 300 10.3 11.9 99.00 99.00 99.00 999 1027.3 -01.0 999.0 999.0 99.0
88 01 02 11 290 11.3 11.9 99.00 99.00 99.00 999 1028.3 -01.7 999.0 999.0 99.0
88 01 02 12 290 12.4 13.9 99.00 99.00 99.00 999 1029.6 -02.2 999.0 999.0 99.0
88 01 02 13 300 11.9 13.9 99.00 99.00 99.00 999 1030.5 -02.7 999.0 999.0 99.0
88 01 02 14 300 09.3 11.3 99.00 99.00 99.00 999 1031.1 -02.6 999.0 999.0 99.0
88 01 02 15 300 06.7 07.2 99.00 99.00 99.00 999 1031.8 -02.6 999.0 999.0 99.0
88 01 02 16 300 06.7 08.8 99.00 99.00 99.00 999 1031.7 -02.3 999.0 999.0 99.0
88 01 02 17 290 07.2 08.3 99.00 99.00 99.00 999 1031.2 -01.9 999.0 999.0 99.0
88 01 02 18 300 04.1 04.6 99.00 99.00 99.00 999 1030.9 -02.1 999.0 999.0 99.0
88 01 02 19 290 03.1 03.6 99.00 99.00 99.00 999 1031.2 -01.7 999.0 999.0 99.0
88 01 02 20 250 04.6 05.1 99.00 99.00 99.00 999 1031.2 -01.7 999.0 999.0 99.0
88 01 02 21 240 03.6 04.6 99.00 99.00 99.00 999 1031.5 -01.3 999.0 999.0 99.0
88 01 02 22 270 02.1 03.1 99.00 99.00 99.00 999 1031.8 -01.2 999.0 999.0 99.0
88 01 02 23 260 03.6 04.6 99.00 99.00 99.00 999 1032.5 -01.0 999.0 999.0 99.0
88 01 03 00 290 04.6 05.1 99.00 99.00 99.00 999 1033.0 -01.2 999.0 999.0 99.0
88 01 03 01 290 05.1 06.2 99.00 99.00 99.00 999 1033.2 -01.4 999.0 999.0 99.0
88 01 03 02 290 04.1 04.6 99.00 99.00 99.00 999 1033.3 -01.6 999.0 999.0 99.0
88 01 03 03 270 03.6 04.1 99.00 99.00 99.00 999 1033.8 -01.5 999.0 999.0 99.0
88 01 03 04 260 04.1 05.1 99.00 99.00 99.00 999 1033.8 -01.5 999.0 999.0 99.0
88 01 03 05 270 03.6 04.6 99.00 99.00 99.00 999 1033.8 -01.4 999.0 999.0 99.0
88 01 03 06 310 05.1 05.7 99.00 99.00 99.00 999 1034.1 -01.9 999.0 999.0 99.0
88 01 03 07 310 02.6 04.1 99.00 99.00 99.00 999 1034.8 -02.4 999.0 999.0 99.0
88 01 03 08 300 01.5 02.1 99.00 99.00 99.00 999 1034.7 -02.5 999.0 999.0 99.0
88 01 03 09 310 02.6 03.1 99.00 99.00 99.00 999 1034.9 -02.2 999.0 999.0 99.0
88 01 03 10 270 01.5 02.1 99.00 99.00 99.00 999 1035.0 -02.2 999.0 999.0 99.0
88 01 03 11 320 03.1 03.6 99.00 99.00 99.00 999 1035.3 -02.4 999.0 999.0 99.0
88 01 03 12 350 02.1 02.6 99.00 99.00 99.00 999 1035.3 -02.7 999.0 999.0 99.0
88 01 03 13 360 02.6 03.1 99.00 99.00 99.00 999 1035.7 -02.2 999.0 999.0 99.0
88 01 03 14 040 02.6 03.1 99.00 99.00 99.00 999 1036.0 -01.6 999.0 999.0 99.0
88 01 03 15 060 02.1 02.6 99.00 99.00 99.00 999 1036.2 -00.8 999.0 999.0 99.0
88 01 03 16 060 02.6 03.1 99.00 99.00 99.00 999 1035.7 -00.8 999.0 999.0 99.0
88 01 03 17 060 01.0 01.5 99.00 99.00 99.00 999 1034.6 -00.3 999.0 999.0 99.0
88 01 03 18 050 01.0 01.5 99.00 99.00 99.00 999 1033.7 -00.2 999.0 999.0 99.0
88 01 03 19 070 02.1 02.6 99.00 99.00 99.00 999 1033.1 -00.4 999.0 999.0 99.0
88 01 03 20 090 02.6 03.1 99.00 99.00 99.00 999 1033.0 -00.5 999.0 999.0 99.0
88 01 03 21 090 02.1 02.6 99.00 99.00 99.00 999 1032.9 -00.5 999.0 999.0 99.0
88 01 03 22 090 04.6 04.6 99.00 99.00 99.00 999 1032.2 -00.5 999.0 999.0 99.0
88 01 03 23 080 05.7 07.2 99.00 99.00 99.00 999 1031.5 -00.4 999.0 999.0 99.0
88 01 04 00 080 06.7 07.2 99.00 99.00 99.00 999 1031.2 -00.1 999.0 999.0 99.0
88 01 04 01 070 06.7 07.2 99.00 99.00 99.00 999 1029.9  00.0 999.0 999.0 99.0
88 01 04 02 080 06.7 07.7 99.00 99.00 99.00 999 1028.8  00.5 999.0 999.0 99.0
88 01 04 03 080 07.2 08.3 99.00 99.00 99.00 999 1027.1  01.0 999.0 999.0 99.0
88 01 04 04 090 06.7 07.7 99.00 99.00 99.00 999 1025.7  01.3 999.0 999.0 99.0
88 01 04 05 070 07.2 07.2 99.00 99.00 99.00 999 1023.9  00.8 999.0 999.0 99.0
88 01 04 06 040 06.2 06.7 99.00 99.00 99.00 999 1022.4  00.7 999.0 999.0 99.0
88 01 04 07 030 07.2 07.7 99.00 99.00 99.00 999 1020.9  00.1 999.0 999.0 99.0
88 01 04 08 050 07.7 08.8 99.00 99.00 99.00 999 1018.8  00.5 999.0 999.0 99.0
88 01 04 09 040 05.1 05.7 99.00 99.00 99.00 999 1017.6  00.6 999.0 999.0 99.0
88 01 04 10 040 06.2 06.7 99.00 99.00 99.00 999 1016.2  00.5 999.0 999.0 99.0
88 01 04 11 040 07.2 08.3 99.00 99.00 99.00 999 1014.7  00.7 999.0 999.0 99.0
88 01 04 12 020 07.2 08.3 99.00 99.00 99.00 999 1013.7  00.9 999.0 999.0 99.0
88 01 04 13 350 07.2 07.7 99.00 99.00 99.00 999 1013.6  00.8 999.0 999.0 99.0
88 01 04 14 010 07.7 08.8 99.00 99.00 99.00 999 1012.1  00.7 999.0 999.0 99.0
88 01 04 15 340 06.2 07.2 99.00 99.00 99.00 999 1012.1  00.9 999.0 999.0 99.0
88 01 04 16 320 04.1 04.6 99.00 99.00 99.00 999 1011.3  01.4 999.0 999.0 99.0
88 01 04 17 310 04.6 05.1 99.00 99.00 99.00 999 1010.4  01.2 999.0 999.0 99.0
88 01 04 18 280 04.1 04.6 99.00 99.00 99.00 999 1009.9  00.8 999.0 999.0 99.0
88 01 04 19 240 03.1 03.6 99.00 99.00 99.00 999 1008.8  00.8 999.0 999.0 99.0
88 01 04 20 230 08.3 09.8 99.00 99.00 99.00 999 1008.9  02.2 999.0 999.0 99.0
88 01 04 21 240 12.9 14.9 99.00 99.00 99.00 999 1008.8  02.3 999.0 999.0 99.0
88 01 04 22 230 11.9 12.9 99.00 99.00 99.00 999 1008.6  01.9 999.0 999.0 99.0
88 01 04 23 240 13.9 14.9 99.00 99.00 99.00 999 1008.9  02.2 999.0 999.0 99.0
88 01 05 00 240 12.9 13.9 99.00 99.00 99.00 999 1009.3  02.9 999.0 999.0 99.0
88 01 05 01 250 16.0 19.1 99.00 99.00 99.00 999 1009.3  03.1 999.0 999.0 99.0
88 01 05 02 250 16.0 19.1 99.00 99.00 99.00 999 1009.3  03.0 999.0 999.0 99.0
88 01 05 03 260 20.6 22.7 99.00 99.00 99.00 999 1009.1  02.3 999.0 999.0 99.0
88 01 05 04 260 19.1 22.2 99.00 99.00 99.00 999 1009.2  01.7 999.0 999.0 99.0
88 01 05 05 270 16.5 18.6 99.00 99.00 99.00 999 1008.8  00.7 999.0 999.0 99.0
88 01 05 06 270 15.5 17.5 99.00 99.00 99.00 999 1009.6 -00.2 999.0 999.0 99.0
