YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
87 01 03 15 290 13.4 15.5 99.00 99.00 99.00 999 1004.9 -01.2 999.0 999.0 99.0
87 01 03 16 290 12.4 14.4 99.00 99.00 99.00 999 1005.6 -01.2 999.0 999.0 99.0
87 01 03 17 290 13.9 16.0 99.00 99.00 99.00 999 1005.6 -00.8 999.0 999.0 99.0
87 01 03 18 290 12.9 15.5 99.00 99.00 99.00 999 1006.4 -00.6 999.0 999.0 99.0
87 01 03 19 290 12.4 13.4 99.00 99.00 99.00 999 1007.2 -00.2 999.0 999.0 99.0
87 01 03 20 290 12.4 14.4 99.00 99.00 99.00 999 1008.3  00.3 999.0 999.0 99.0
87 01 03 21 290 11.3 12.4 99.00 99.00 99.00 999 1010.0  00.3 999.0 999.0 99.0
87 01 03 22 290 10.3 12.4 99.00 99.00 99.00 999 1011.5  00.0 999.0 999.0 99.0
87 01 03 23 310 11.3 12.4 99.00 99.00 99.00 999 1012.7 -00.2 999.0 999.0 99.0
87 01 04 00 310 12.4 14.9 99.00 99.00 99.00 999 1013.8 -00.6 999.0 999.0 99.0
87 01 04 01 310 13.4 14.9 99.00 99.00 99.00 999 1014.6 -01.1 999.0 999.0 99.0
87 01 04 02 320 12.9 13.9 99.00 99.00 99.00 999 1015.6 -01.6 999.0 999.0 99.0
87 01 04 03 330 09.8 10.8 99.00 99.00 99.00 999 1016.4 -02.2 999.0 999.0 99.0
87 01 04 04 310 09.8 11.9 99.00 99.00 99.00 999 1017.5 -02.5 999.0 999.0 99.0
87 01 04 05 310 10.3 11.3 99.00 99.00 99.00 999 1017.4 -02.8 999.0 999.0 99.0
87 01 04 06 320 11.3 12.9 99.00 99.00 99.00 999 1017.7 -02.9 999.0 999.0 99.0
87 01 04 07 320 11.9 12.9 99.00 99.00 99.00 999 1018.1 -02.9 999.0 999.0 99.0
87 01 04 08 320 08.8 09.8 99.00 99.00 99.00 999 1018.8 -03.2 999.0 999.0 99.0
87 01 04 09 330 08.8 09.8 99.00 99.00 99.00 999 1019.2 -03.2 999.0 999.0 99.0
87 01 04 10 330 08.3 09.3 99.00 99.00 99.00 999 1019.6 -03.4 999.0 999.0 99.0
87 01 04 11 340 07.7 08.8 99.00 99.00 99.00 999 1020.6 -03.5 999.0 999.0 99.0
87 01 04 12 330 07.2 08.3 99.00 99.00 99.00 999 1021.0 -03.3 999.0 999.0 99.0
87 01 04 13 330 07.7 08.8 99.00 99.00 99.00 999 1021.8 -02.7 999.0 999.0 99.0
87 01 04 14 340 05.7 06.2 99.00 99.00 99.00 999 1022.1 -01.3 999.0 999.0 99.0
87 01 04 15 320 04.6 05.1 99.00 99.00 99.00 999 1022.5  00.4 999.0 999.0 99.0
87 01 04 16 300 02.6 03.1 99.00 99.00 99.00 999 1022.3  02.2 999.0 999.0 99.0
87 01 04 17 330 05.1 05.7 99.00 99.00 99.00 999 1022.0  01.4 999.0 999.0 99.0
87 01 04 18 340 04.1 04.6 99.00 99.00 99.00 999 1021.2  01.8 999.0 999.0 99.0
87 01 04 19 350 02.6 03.1 99.00 99.00 99.00 999 1021.3  03.3 999.0 999.0 99.0
87 01 04 20 280 02.1 02.6 99.00 99.00 99.00 999 1021.5  03.5 999.0 999.0 99.0
87 01 04 21 300 05.1 05.7 99.00 99.00 99.00 999 1022.3  01.5 999.0 999.0 99.0
87 01 04 22 300 03.6 04.1 99.00 99.00 99.00 999 1022.7  01.1 999.0 999.0 99.0
87 01 04 23 260 04.1 04.6 99.00 99.00 99.00 999 1023.2  01.6 999.0 999.0 99.0
87 01 05 00 300 04.6 05.1 99.00 99.00 99.00 999 1022.5  01.9 999.0 999.0 99.0
87 01 05 01 310 06.7 07.2 99.00 99.00 99.00 999 1022.1  01.3 999.0 999.0 99.0
87 01 05 02 330 04.6 05.1 99.00 99.00 99.00 999 1021.4  01.1 999.0 999.0 99.0
87 01 05 03 320 05.1 05.7 99.00 99.00 99.00 999 1021.3  00.7 999.0 999.0 99.0
87 01 05 04 320 05.1 06.2 99.00 99.00 99.00 999 1021.5  00.5 999.0 999.0 99.0
87 01 05 05 310 05.1 05.7 99.00 99.00 99.00 999 1021.6  00.2 999.0 999.0 99.0
87 01 05 06 320 05.1 06.7 99.00 99.00 99.00 999 1021.7  00.1 999.0 999.0 99.0
87 01 05 07 350 05.1 05.7 99.00 99.00 99.00 999 1022.2 -00.1 999.0 999.0 99.0
87 01 05 08 340 05.7 06.7 99.00 99.00 99.00 999 1022.1 -00.3 999.0 999.0 99.0
87 01 05 09 340 05.7 06.2 99.00 99.00 99.00 999 1022.0 -00.9 999.0 999.0 99.0
87 01 05 10 340 08.3 08.8 99.00 99.00 99.00 999 1022.2 -01.5 999.0 999.0 99.0
87 01 05 11 350 09.3 10.3 99.00 99.00 99.00 999 1022.5 -01.3 999.0 999.0 99.0
87 01 05 12 350 08.8 09.3 99.00 99.00 99.00 999 1023.1 -01.6 999.0 999.0 99.0
87 01 05 13 340 09.8 10.8 99.00 99.00 99.00 999 1023.5 -01.1 999.0 999.0 99.0
87 01 05 14 340 08.3 08.8 99.00 99.00 99.00 999 1024.4  00.0 999.0 999.0 99.0
87 01 05 15 340 08.3 08.8 99.00 99.00 99.00 999 1024.7  01.2 999.0 999.0 99.0
87 01 05 16 330 07.2 07.7 99.00 99.00 99.00 999 1024.3  02.6 999.0 999.0 99.0
87 01 05 17 330 06.7 07.2 99.00 99.00 99.00 999 1023.6  03.3 999.0 999.0 99.0
87 01 05 18 350 06.2 07.2 99.00 99.00 99.00 999 1023.3  03.7 999.0 999.0 99.0
87 01 05 19 010 06.7 07.2 99.00 99.00 99.00 999 1023.3  03.7 999.0 999.0 99.0
87 01 05 20 000 04.1 04.1 99.00 99.00 99.00 999 1023.7  04.5 999.0 999.0 99.0
87 01 05 21 340 05.1 05.7 99.00 99.00 99.00 999 1024.1  04.2 999.0 999.0 99.0
87 01 05 22 350 06.7 07.2 99.00 99.00 99.00 999 1024.8  02.4 999.0 999.0 99.0
87 01 05 23 340 05.1 05.7 99.00 99.00 99.00 999 1025.3  01.6 999.0 999.0 99.0
87 01 06 00 340 03.6 04.1 99.00 99.00 99.00 999 1025.6  01.3 999.0 999.0 99.0
87 01 06 01 330 04.6 05.1 99.00 99.00 99.00 999 1025.6  01.6 999.0 999.0 99.0
87 01 06 02 350 09.3 09.8 99.00 99.00 99.00 999 1025.6  00.9 999.0 999.0 99.0
87 01 06 03 340 07.7 08.8 99.00 99.00 99.00 999 1025.8  00.2 999.0 999.0 99.0
87 01 06 04 340 07.7 08.8 99.00 99.00 99.00 999 1025.8 -00.1 999.0 999.0 99.0
87 01 06 05 350 06.7 07.2 99.00 99.00 99.00 999 1025.2 -00.5 999.0 999.0 99.0
87 01 06 06 350 06.7 07.2 99.00 99.00 99.00 999 1025.2 -00.9 999.0 999.0 99.0
87 01 06 07 000 05.1 06.2 99.00 99.00 99.00 999 1025.1 -01.1 999.0 999.0 99.0
87 01 06 08 000 04.6 05.1 99.00 99.00 99.00 999 1024.9 -01.1 999.0 999.0 99.0
87 01 06 09 350 04.6 05.1 99.00 99.00 99.00 999 1025.3 -01.4 999.0 999.0 99.0
87 01 06 10 350 05.7 06.2 99.00 99.00 99.00 999 1025.6 -01.7 999.0 999.0 99.0
87 01 06 11 000 04.6 05.1 99.00 99.00 99.00 999 1026.0 -02.2 999.0 999.0 99.0
87 01 06 12 000 05.7 06.2 99.00 99.00 99.00 999 1026.2 -02.2 999.0 999.0 99.0
87 01 06 13 030 05.1 05.1 99.00 99.00 99.00 999 1026.0 -01.2 999.0 999.0 99.0
87 01 06 14 010 03.6 04.6 99.00 99.00 99.00 999 1026.5  00.7 999.0 999.0 99.0
87 01 06 15 020 02.6 03.1 99.00 99.00 99.00 999 1026.0  02.2 999.0 999.0 99.0
87 01 06 16 000 00.0 00.5 99.00 99.00 99.00 999 1024.8  03.7 999.0 999.0 99.0
87 01 06 17 250 02.6 03.1 99.00 99.00 99.00 999 1024.9  01.7 999.0 999.0 99.0
87 01 06 18 250 01.5 01.5 99.00 99.00 99.00 999 1023.8  01.5 999.0 999.0 99.0
87 01 06 19 190 01.0 01.5 99.00 99.00 99.00 999 1022.5  02.3 999.0 999.0 99.0
87 01 06 20 200 01.5 02.1 99.00 99.00 99.00 999 1022.3  02.1 999.0 999.0 99.0
87 01 06 21 240 01.0 02.1 99.00 99.00 99.00 999 1021.8  02.0 999.0 999.0 99.0
87 01 06 22 220 04.1 04.6 99.00 99.00 99.00 999 1021.1  02.4 999.0 999.0 99.0
87 01 06 23 200 04.1 04.6 99.00 99.00 99.00 999 1020.4  03.0 999.0 999.0 99.0
87 01 07 00 200 06.2 06.7 99.00 99.00 99.00 999 1020.2  03.7 999.0 999.0 99.0
87 01 07 01 200 06.7 07.7 99.00 99.00 99.00 999 1019.4  04.2 999.0 999.0 99.0
87 01 07 02 190 07.7 08.8 99.00 99.00 99.00 999 1018.1  04.7 999.0 999.0 99.0
87 01 07 03 200 09.3 09.8 99.00 99.00 99.00 999 1016.5  05.1 999.0 999.0 99.0
87 01 07 04 210 09.8 10.8 99.00 99.00 99.00 999 1016.1  05.3 999.0 999.0 99.0
87 01 07 05 220 08.3 09.3 99.00 99.00 99.00 999 1015.1  05.4 999.0 999.0 99.0
87 01 07 06 200 08.8 09.3 99.00 99.00 99.00 999 1013.7  05.9 999.0 999.0 99.0
87 01 07 07 200 10.3 10.3 99.00 99.00 99.00 999 1012.2  06.6 999.0 999.0 99.0
87 01 07 08 200 10.8 11.3 99.00 99.00 99.00 999 1010.9  06.9 999.0 999.0 99.0
87 01 07 09 200 09.8 10.3 99.00 99.00 99.00 999 1009.6  07.1 999.0 999.0 99.0
87 01 07 10 190 10.3 10.8 99.00 99.00 99.00 999 1008.0  07.3 999.0 999.0 99.0
87 01 07 11 220 13.9 14.9 99.00 99.00 99.00 999 1006.9  07.6 999.0 999.0 99.0
87 01 07 12 230 12.4 13.4 99.00 99.00 99.00 999 1006.2  06.6 999.0 999.0 99.0
87 01 07 13 240 12.4 12.9 99.00 99.00 99.00 999 1005.8  06.0 999.0 999.0 99.0
87 01 07 14 240 12.4 13.9 99.00 99.00 99.00 999 1005.3  05.7 999.0 999.0 99.0
87 01 07 15 240 13.9 14.9 99.00 99.00 99.00 999 1005.1  05.0 999.0 999.0 99.0
87 01 07 16 240 12.4 13.4 99.00 99.00 99.00 999 1004.5  04.6 999.0 999.0 99.0
87 01 07 17 240 10.8 11.9 99.00 99.00 99.00 999 1003.7  04.6 999.0 999.0 99.0
87 01 07 18 240 11.9 12.4 99.00 99.00 99.00 999 1002.9  04.5 999.0 999.0 99.0
87 01 07 19 240 11.3 11.9 99.00 99.00 99.00 999 1002.5  04.9 999.0 999.0 99.0
87 01 07 20 250 10.8 11.9 99.00 99.00 99.00 999 1002.2  05.2 999.0 999.0 99.0
87 01 07 21 250 10.3 10.8 99.00 99.00 99.00 999 1002.6  05.5 999.0 999.0 99.0
87 01 07 22 250 11.3 12.4 99.00 99.00 99.00 999 1003.0  06.0 999.0 999.0 99.0
87 01 07 23 250 10.8 11.3 99.00 99.00 99.00 999 1003.1  06.1 999.0 999.0 99.0
87 01 08 00 270 11.3 11.9 99.00 99.00 99.00 999 1003.3  05.8 999.0 999.0 99.0
87 01 08 01 280 10.8 12.9 99.00 99.00 99.00 999 1004.2  05.7 999.0 999.0 99.0
