YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
94 01 01 00 259 10.9 11.8 99.00 99.00 99.00 999 1024.0 -00.8 999.0 999.0 99.0
94 01 01 01 259 10.9 11.7 99.00 99.00 99.00 999 1024.3 -00.6 999.0 999.0 99.0
94 01 01 02 269 11.2 12.5 99.00 99.00 99.00 999 1025.0 -00.6 999.0 999.0 99.0
94 01 01 03 273 10.8 12.2 99.00 99.00 99.00 999 1025.7 -00.8 999.0 999.0 99.0
94 01 01 04 270 09.1 10.0 99.00 99.00 99.00 999 1025.7 -01.0 999.0 999.0 99.0
94 01 01 05 272 08.3 09.7 99.00 99.00 99.00 999 1025.8 -00.7 999.0 999.0 99.0
94 01 01 06 276 08.3 09.3 99.00 99.00 99.00 999 1026.3 -00.7 999.0 999.0 99.0
94 01 01 07 273 07.0 08.0 99.00 99.00 99.00 999 1026.8 -01.0 999.0 999.0 99.0
94 01 01 08 283 03.8 04.7 99.00 99.00 99.00 999 1026.8 -01.7 999.0 999.0 99.0
94 01 01 09 251 04.5 05.1 99.00 99.00 99.00 999 1027.0 -01.0 999.0 999.0 99.0
94 01 01 10 250 04.6 05.6 99.00 99.00 99.00 999 1027.2 -00.7 999.0 999.0 99.0
94 01 01 11 245 08.6 09.9 99.00 99.00 99.00 999 1027.4  00.0 999.0 999.0 99.0
94 01 01 12 247 06.1 07.4 99.00 99.00 99.00 999 1027.8  00.1 999.0 999.0 99.0
94 01 01 13 251 03.9 04.5 99.00 99.00 99.00 999 1027.2  00.6 999.0 999.0 99.0
94 01 01 14 228 09.7 10.5 99.00 99.00 99.00 999 1027.3  01.5 999.0 999.0 99.0
94 01 01 15 227 09.5 10.8 99.00 99.00 99.00 999 1026.9  02.1 999.0 999.0 99.0
94 01 01 16 211 09.7 10.5 99.00 99.00 99.00 999 1026.3  03.1 999.0 999.0 99.0
94 01 01 17 215 11.0 11.7 99.00 99.00 99.00 999 1024.7  04.1 999.0 999.0 99.0
94 01 01 18 206 12.2 13.3 99.00 99.00 99.00 999 1023.3  04.6 999.0 999.0 99.0
94 01 01 19 204 13.5 15.0 99.00 99.00 99.00 999 1022.3  05.2 999.0 999.0 99.0
94 01 01 20 190 11.0 12.2 99.00 99.00 99.00 999 1021.2  05.9 999.0 999.0 99.0
94 01 01 21 185 11.2 12.2 99.00 99.00 99.00 999 1020.3  06.3 999.0 999.0 99.0
94 01 01 22 196 14.3 16.0 99.00 99.00 99.00 999 1020.3  06.9 999.0 999.0 99.0
94 01 01 23 192 12.9 14.4 99.00 99.00 99.00 999 1019.5  07.3 999.0 999.0 99.0
94 01 02 00 199 11.9 12.7 99.00 99.00 99.00 999 1018.8  07.5 999.0 999.0 99.0
94 01 02 01 201 09.8 10.7 99.00 99.00 99.00 999 1017.7  07.2 999.0 999.0 99.0
94 01 02 02 186 10.6 11.6 99.00 99.00 99.00 999 1016.3  07.6 999.0 999.0 99.0
94 01 02 03 201 10.2 10.9 99.00 99.00 99.00 999 1015.1  07.9 999.0 999.0 99.0
