YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
93 01 01 00 251 09.7 10.8 99.00 99.00 99.00 999 1008.0  06.4 999.0 999.0 99.0
93 01 01 01 254 09.6 10.0 99.00 99.00 99.00 999 1007.7  07.1 999.0 999.0 99.0
93 01 01 02 260 09.2 09.5 99.00 99.00 99.00 999 1008.4  09.1 999.0 999.0 99.0
93 01 01 03 250 06.4 06.9 99.00 99.00 99.00 999 1008.0  06.9 999.0 999.0 99.0
93 01 01 04 282 08.6 09.0 99.00 99.00 99.00 999 1008.1  07.2 999.0 999.0 99.0
93 01 01 05 294 05.9 06.4 99.00 99.00 99.00 999 1007.7  07.9 999.0 999.0 99.0
93 01 01 06 283 09.3 09.8 99.00 99.00 99.00 999 1008.1  08.2 999.0 999.0 99.0
93 01 01 07 286 05.8 06.3 99.00 99.00 99.00 999 1008.7  07.4 999.0 999.0 99.0
93 01 01 08 287 07.9 08.5 99.00 99.00 99.00 999 1008.8  06.9 999.0 999.0 99.0
93 01 01 09 295 08.6 10.3 99.00 99.00 99.00 999 1009.3  06.1 999.0 999.0 99.0
93 01 01 10 298 07.5 08.1 99.00 99.00 99.00 999 1009.5  05.3 999.0 999.0 99.0
93 01 01 11 295 09.2 10.2 99.00 99.00 99.00 999 1010.2  04.9 999.0 999.0 99.0
93 01 01 12 289 08.0 09.3 99.00 99.00 99.00 999 1011.2  04.5 999.0 999.0 99.0
93 01 01 13 294 13.2 16.7 99.00 99.00 99.00 999 1012.4  04.2 999.0 999.0 99.0
93 01 01 14 291 09.9 12.0 99.00 99.00 99.00 999 1013.9  03.7 999.0 999.0 99.0
93 01 01 15 293 12.6 15.4 99.00 99.00 99.00 999 1014.4  03.7 999.0 999.0 99.0
93 01 01 16 286 14.8 16.1 99.00 99.00 99.00 999 1014.2  03.7 999.0 999.0 99.0
93 01 01 17 285 15.0 18.1 99.00 99.00 99.00 999 1014.8  02.9 999.0 999.0 99.0
93 01 01 18 285 13.1 15.3 99.00 99.00 99.00 999 1015.2  02.4 999.0 999.0 99.0
93 01 01 19 308 15.3 17.4 99.00 99.00 99.00 999 1016.0  01.9 999.0 999.0 99.0
93 01 01 20 293 11.3 12.7 99.00 99.00 99.00 999 1017.3  01.6 999.0 999.0 99.0
93 01 01 21 283 11.0 12.7 99.00 99.00 99.00 999 1018.5  00.6 999.0 999.0 99.0
93 01 01 22 287 14.0 15.6 99.00 99.00 99.00 999 1019.8 -00.7 999.0 999.0 99.0
93 01 01 23 288 12.6 14.6 99.00 99.00 99.00 999 1021.4 -01.6 999.0 999.0 99.0
93 01 02 00 286 12.5 14.0 99.00 99.00 99.00 999 1022.3 -02.7 999.0 999.0 99.0
93 01 02 01 292 12.3 14.4 99.00 99.00 99.00 999 1022.7 -03.4 999.0 999.0 99.0
93 01 02 02 300 10.9 12.4 99.00 99.00 99.00 999 1023.4 -03.9 999.0 999.0 99.0
93 01 02 03 287 11.2 12.5 99.00 99.00 99.00 999 1024.0 -04.3 999.0 999.0 99.0
93 01 02 04 294 10.8 12.7 99.00 99.00 99.00 999 1025.1 -04.6 999.0 999.0 99.0
93 01 02 05 290 11.2 12.5 99.00 99.00 99.00 999 1025.2 -04.9 999.0 999.0 99.0
93 01 02 06 309 12.3 14.8 99.00 99.00 99.00 999 1025.5 -05.1 999.0 999.0 99.0
93 01 02 07 302 11.3 13.4 99.00 99.00 99.00 999 1026.0 -05.1 999.0 999.0 99.0
